phase,geneID,GeneName
G2/M,ENSG00000010292,NCAPD2
G2/M,ENSG00000011426,ANLN
G2/M,ENSG00000013810,UBR7
G2/M,ENSG00000072571,TACC3
G2/M,ENSG00000075218,RFC2
G2/M,ENSG00000080986,RAD51
G2/M,ENSG00000087586,HMMR
G2/M,ENSG00000088325,MCM2
G2/M,ENSG00000089685,TIPIN
G2/M,ENSG00000092140,GTSE1
G2/M,ENSG00000094916,MCM6
G2/M,ENSG00000100401,UNG
G2/M,ENSG00000102974,POLD3
G2/M,ENSG00000111665,NDC80
G2/M,ENSG00000112742,AURKA
G2/M,ENSG00000113810,TPX2
G2/M,ENSG00000114346,BIRC5
G2/M,ENSG00000115163,G2E3
G2/M,ENSG00000117399,WDR76
G2/M,ENSG00000117650,CLSPN
G2/M,ENSG00000117724,CDC45
G2/M,ENSG00000120802,CDC6
G2/M,ENSG00000123485,CBX5
G2/M,ENSG00000123975,MSH2
G2/M,ENSG00000126787,MCM5
G2/M,ENSG00000129195,RANGAP1
G2/M,ENSG00000131747,POLA1
G2/M,ENSG00000134222,CTCF
G2/M,ENSG00000134690,MCM4
G2/M,ENSG00000136108,RAD51AP1
G2/M,ENSG00000137804,CDCA3
G2/M,ENSG00000137807,GMNN
G2/M,ENSG00000138160,TTK
G2/M,ENSG00000138182,SMC4
G2/M,ENSG00000138778,ECT2
G2/M,ENSG00000139354,CENPA
G2/M,ENSG00000142945,CDC20
G2/M,ENSG00000143228,NEK2
G2/M,ENSG00000143401,CENPF
G2/M,ENSG00000143815,RPA2
G2/M,ENSG00000148773,CASP8AP2
G2/M,ENSG00000157456,HELLS
G2/M,ENSG00000158402,TMPO
G2/M,ENSG00000164104,HJURP
G2/M,ENSG00000169607,CKS2
G2/M,ENSG00000169679,DLGAP5
G2/M,ENSG00000170312,E2F8
G2/M,ENSG00000173207,PIMREG
G2/M,ENSG00000175063,GINS2
G2/M,ENSG00000175216,TOP2A
G2/M,ENSG00000178999,PCNA
G2/M,ENSG00000184661,NASP
G2/M,ENSG00000188229,PSRC1
G2/M,ENSG00000189159,CDCA8
S,ENSG00000012963,CKAP2
S,ENSG00000049541,BRIP1
S,ENSG00000051180,DSCC1
S,ENSG00000073111,NUSAP1
S,ENSG00000075131,KIF23
S,ENSG00000076003,KIF11
S,ENSG00000076248,KIF20B
S,ENSG00000077514,CENPE
S,ENSG00000092470,GAS2L3
S,ENSG00000092853,KIF2C
S,ENSG00000093009,NUF2
S,ENSG00000094804,ANP32E
S,ENSG00000095002,DTL
S,ENSG00000100297,LBR
S,ENSG00000101868,CDCA7
S,ENSG00000104738,MKI67
S,ENSG00000111247,CENPU
S,ENSG00000112312,ATAD2
S,ENSG00000117748,CCNB2
S,ENSG00000118412,CDC25C
S,ENSG00000119969,CHAF1B
S,ENSG00000129173,USP1
S,ENSG00000131153,SLBP
S,ENSG00000132646,HMGB2
S,ENSG00000132780,RRM1
S,ENSG00000136492,FEN1
S,ENSG00000136982,CKAP2L
S,ENSG00000143476,BUB1
S,ENSG00000144354,CDK1
S,ENSG00000151725,RRM2
S,ENSG00000156802,CKS1B
S,ENSG00000159259,EXO1
S,ENSG00000162607,UBE2C
S,ENSG00000163950,CKAP5
S,ENSG00000167325,CCNE2
S,ENSG00000168496,TYMS
S,ENSG00000171848,AURKB
S,ENSG00000174371,CDCA2
S,ENSG00000175305,TUBB4B
S,ENSG00000176890,JPT1
S,ENSG00000197299,BLM
S,ENSG00000198056,PRIM1
S,ENSG00000276043,UHRF1